X,Y,Z_ground_m,Z_sensor_m,Mag_anomaly_nT,FGrav_mgal
744700.56,6415997.50,368.99,51.70,-72.34,-0.069
744999.51,6415998.00,368.99,55.72,-86.75,-0.062
745309.40,6415992.50,368.68,58.74,-79.73,-0.072
745612.23,6416006.00,369.72,56.65,-121.81,-0.031
745915.07,6416001.00,369.17,56.98,-147.20,-0.026
746219.79,6415996.50,371.08,56.41,-214.90,-0.045
746505.82,6416023.00,371.88,57.68,-269.72,-0.083
746819.97,6416005.50,370.77,58.93,-337.86,-0.086
747110.64,6415992.00,372.80,54.90,-409.35,-0.068
747431.82,6416013.50,375.74,57.75,-588.17,0.105
747713.37,6415994.00,381.35,54.41,-889.69,0.042
748023.33,6415998.50,383.94,52.92,-944.40,-0.070
748291.02,6416014.00,387.71,58.47,-712.31,-0.001
748605.54,6415993.50,385.00,57.11,-697.19,-0.075
748911.71,6416002.00,385.03,57.41,-675.56,-0.083
749213.30,6416003.00,388.90,55.00,-693.10,-0.106
744709.63,6416110.00,367.40,51.89,-68.56,-0.097
745013.88,6416094.50,367.34,58.39,-81.48,-0.039
745317.91,6416115.00,367.85,60.90,-38.66,-0.036
745913.20,6416101.00,369.88,59.92,-154.55,-0.053
746200.95,6416117.00,369.00,58.54,-222.25,-0.029
746528.11,6416121.50,370.92,58.62,-367.80,-0.063
746812.20,6416113.50,372.82,59.15,-457.03,-0.130
747103.71,6416105.00,373.71,50.91,-477.77,-0.046
747408.28,6416102.00,375.65,57.95,-590.19,0.208
747717.67,6416106.00,382.49,52.37,-1035.86,0.254
748015.54,6416118.00,382.16,51.85,-1147.83,0.053
748314.04,6416093.00,384.14,58.04,-780.90,-0.051
748625.03,6416099.00,382.08,53.35,-793.78,-0.013
748905.27,6416123.50,383.91,54.16,-762.88,-0.083
749220.67,6416128.00,389.33,55.00,-693.10,-0.017
744711.54,6416202.50,369.78,50.08,-84.31,-0.073
745017.11,6416206.00,370.10,56.37,-82.71,-0.078
745318.95,6416192.00,369.30,60.14,-51.79,-0.044
745627.17,6416206.00,369.98,57.63,-144.52,-0.071
745922.29,6416202.50,369.64,58.15,-182.40,-0.067
746214.62,6416209.50,372.57,60.69,-229.23,-0.027
746510.53,6416202.00,372.97,59.82,-514.67,-0.070
746808.92,6416184.00,370.80,60.39,-648.07,-0.150
747119.33,6416201.50,373.94,54.01,-582.16,-0.040
747404.47,6416199.00,376.03,58.95,-368.64,0.324
747728.43,6416203.50,382.10,54.95,-334.94,0.363
748007.71,6416205.00,381.37,54.44,-873.70,0.188
748301.98,6416199.50,382.81,56.52,-750.25,0.018
748606.68,6416219.00,380.53,57.79,-681.13,0.032
748902.12,6416219.00,382.72,56.42,-734.22,-0.040
749221.47,6416193.00,387.09,55.00,-693.10,-0.039
744716.87,6416303.50,369.39,48.19,-98.26,-0.035
745005.64,6416295.00,369.01,53.76,-87.70,-0.045
745304.77,6416311.00,368.36,59.44,-72.99,-0.046
745912.72,6416290.00,371.07,56.68,-202.10,-0.047
746815.14,6416295.00,372.72,62.31,-939.76,-0.077
747123.50,6416300.50,375.50,57.02,-685.86,-0.026
748009.85,6416293.00,380.80,56.91,-539.66,0.255
748316.71,6416305.00,382.56,55.14,-707.68,0.110
748606.09,6416311.50,378.71,61.06,-586.45,0.092
748913.27,6416286.00,382.05,58.18,-702.26,-0.000
749224.43,6416309.50,386.30,62.00,-651.08,-0.019
744711.54,6416405.50,370.38,48.36,-106.79,-0.053
745025.78,6416402.00,370.38,52.81,-91.28,-0.087
745321.87,6416394.00,370.03,58.66,-92.30,-0.070
745628.84,6416392.50,370.00,58.18,-171.41,-0.058
745915.26,6416413.50,372.20,56.43,-236.05,-0.072
746207.95,6416382.50,372.95,64.68,-250.74,-0.043
746523.70,6416417.00,375.54,62.60,-911.76,-0.017
746827.79,6416418.50,373.59,62.88,-1200.15,0.021
747108.91,6416411.50,374.78,59.34,-854.34,-0.035
747396.12,6416384.50,375.50,60.98,34.92,0.289
747723.26,6416392.00,376.75,60.17,1177.36,0.457
748022.13,6416407.00,380.00,57.79,-316.04,0.307
748327.47,6416408.50,381.93,53.14,-584.61,0.171
748616.70,6416404.50,381.15,62.34,-472.62,0.155
748919.64,6416401.50,381.38,60.69,-635.94,0.043
749233.51,6416410.50,386.57,62.00,-651.08,0.024
744720.75,6416504.00,370.23,52.91,-103.74,-0.073
745010.65,6416495.50,370.24,55.38,-101.81,-0.029
745299.48,6416496.50,370.18,60.09,-100.84,-0.041
745600.53,6416511.50,370.64,60.28,-172.27,-0.039
745916.60,6416490.00,371.55,57.78,-258.00,-0.070
746212.92,6416503.00,375.18,62.54,-378.25,-0.018
746524.47,6416524.00,373.03,61.10,-895.64,0.029
746815.53,6416492.50,373.09,59.94,-881.45,0.101
747132.41,6416496.00,374.91,56.19,-1009.27,0.013
747421.00,6416488.00,376.01,57.34,-265.16,0.188
747720.42,6416512.00,377.93,54.67,111.45,0.254
748014.57,6416504.00,380.00,55.48,-323.15,0.322
748323.45,6416504.50,379.32,51.14,-372.11,0.345
748616.10,6416502.50,379.63,58.93,-283.90,0.279
748907.18,6416475.50,382.00,58.99,-524.26,0.062
749198.54,6416502.50,386.51,54.60,-398.10,0.050
744705.08,6416607.50,369.16,57.73,-102.50,-0.074
745016.82,6416601.00,369.16,58.83,-111.69,-0.040
745332.83,6416611.00,369.95,60.11,-118.35,-0.041
745623.32,6416613.50,369.29,61.72,-186.41,-0.049
745907.47,6416586.50,372.27,59.55,-281.16,-0.054
746223.50,6416588.00,377.95,60.29,-478.49,-0.035
746510.78,6416605.00,374.11,59.90,-884.08,0.069
746810.90,6416608.00,373.37,55.87,-419.87,0.283
747109.39,6416598.50,372.15,53.04,-1331.79,0.076
747439.99,6416609.50,376.68,53.01,-740.09,0.081
747737.33,6416595.50,376.98,51.45,-617.25,0.146
748026.72,6416621.00,378.18,52.01,-344.94,0.225
748317.51,6416613.50,379.92,49.39,-146.53,0.402
748909.76,6416629.50,380.86,57.43,-310.11,0.109
749206.34,6416614.50,384.94,54.60,-398.10,0.027
744725.52,6416720.50,369.88,56.22,-106.74,-0.058
745030.04,6416712.00,369.50,58.30,-119.19,-0.052
745301.82,6416698.00,370.33,61.02,-124.79,-0.074
745925.50,6416707.00,375.96,56.23,-321.90,-0.037
746521.38,6416707.00,375.99,56.52,-1085.21,0.130
746826.77,6416701.50,376.17,55.87,-390.09,0.372
747120.54,6416712.00,375.23,54.87,-1181.22,0.131
747421.66,6416708.50,376.73,55.65,-792.18,0.031
747697.96,6416708.00,378.97,54.53,-721.90,0.052
748010.46,6416701.50,378.00,54.58,-357.60,0.184
748330.72,6416721.00,376.69,55.49,-26.63,0.444
748629.53,6416677.00,380.02,59.25,-2.73,0.400
748916.09,6416705.00,382.91,59.82,-237.96,0.089
749219.95,6416704.50,389.24,54.60,-398.10,0.063
744731.11,6416803.00,371.28,55.40,-110.98,-0.007
745015.20,6416801.00,371.28,57.50,-123.76,-0.047
745318.17,6416800.00,370.06,60.65,-136.64,-0.048
745913.66,6416786.50,378.55,53.53,-332.12,-0.024
746228.65,6416814.50,381.94,46.28,-1057.52,0.125
746521.32,6416804.00,378.23,53.32,-1287.11,0.243
746820.64,6416817.00,379.04,56.18,152.30,0.441
747127.12,6416816.00,374.09,56.47,-1083.72,0.150
747430.64,6416817.00,377.91,58.05,-821.14,0.072
747743.10,6416793.00,378.97,59.05,-656.51,0.058
748022.32,6416807.00,379.41,56.03,-319.46,0.128
748338.51,6416801.00,379.33,60.30,55.23,0.435
748617.63,6416804.00,379.38,65.76,156.82,0.439
748913.41,6416790.00,382.30,62.58,-150.76,0.150
749217.80,6416803.00,385.75,62.60,-223.94,0.063
744727.63,6416907.00,371.73,55.03,-119.78,-0.022
745039.28,6416892.50,371.73,57.38,-129.95,-0.085
745336.67,6416899.50,371.07,60.68,-147.15,-0.030
745632.82,6416891.50,373.12,61.36,-207.63,-0.037
745913.49,6416903.00,380.31,51.36,-326.07,-0.008
746218.09,6416886.50,384.19,46.19,-739.99,0.281
746530.05,6416903.00,379.43,54.60,-962.12,0.459
746816.50,6416916.50,377.52,58.35,322.23,0.524
747123.16,6416893.00,374.01,57.96,-997.36,0.184
747432.36,6416906.00,377.94,58.95,-834.39,0.143
747725.46,6416926.50,379.83,62.02,-669.67,0.188
748031.79,6416905.50,382.79,57.09,-324.79,0.118
748333.15,6416914.50,379.23,63.12,80.02,0.344
748613.60,6416918.00,378.51,66.89,193.38,0.371
748927.96,6416889.50,385.06,62.65,-90.47,0.159
749240.02,6416908.00,386.87,62.60,-223.94,0.064
744721.71,6417014.50,373.99,55.82,-133.53,-0.026
745011.57,6417019.50,373.99,60.80,-136.16,-0.086
745334.77,6416998.50,373.13,62.84,-153.47,-0.018
745614.35,6417005.50,376.00,60.63,-186.84,-0.071
745915.16,6416990.00,381.06,51.76,-296.70,0.030
746230.29,6416993.50,383.24,53.13,374.97,0.477
746521.43,6417009.50,379.41,60.51,-3.61,0.647
746840.96,6416995.50,378.55,62.11,427.35,0.580
747135.13,6417007.00,373.10,60.69,-959.11,0.252
747427.00,6417004.00,377.83,58.48,-882.75,0.348
747719.95,6417017.00,379.86,62.25,-711.00,0.334
748021.74,6417000.00,380.90,55.99,-399.44,0.150
748314.48,6416993.50,379.41,61.06,-24.51,0.280
748620.25,6417000.50,381.29,62.86,120.90,0.296
748939.62,6417000.50,383.47,57.06,-70.17,0.185
749243.17,6417009.00,388.06,53.00,-109.54,0.107
744746.49,6417100.00,375.06,57.36,-138.89,-0.039
745040.45,6417104.50,375.06,62.89,-140.22,-0.026
745329.54,6417109.00,374.95,64.99,-161.25,-0.086
745917.92,6417106.00,382.96,51.98,-252.94,0.028
746237.84,6417099.00,383.49,60.89,1476.40,0.603
746838.75,6417104.00,378.90,65.91,483.10,0.701
747118.12,6417097.00,373.45,62.74,-821.78,0.401
747714.41,6417083.50,379.22,62.45,-744.14,0.459
748035.16,6417099.00,379.00,55.09,-429.19,0.231
748621.31,6417100.50,381.03,58.37,46.77,0.264
749240.40,6417105.00,387.22,53.00,-109.54,0.118
744730.86,6417215.50,376.92,53.19,-73.76,-0.032
745035.51,6417201.00,376.92,59.50,-152.28,-0.029
745339.43,6417216.00,377.00,64.56,-174.57,-0.055
745629.04,6417199.50,377.53,59.96,-180.85,-0.027
745927.79,6417206.00,383.21,52.43,-201.72,0.010
746222.90,6417227.00,383.86,56.30,1177.27,0.548
746529.68,6417206.50,380.70,61.76,1553.76,0.866
746834.04,6417193.00,379.23,61.50,898.61,0.783
747143.93,6417213.00,372.10,59.81,-121.81,0.548
747414.94,6417216.50,374.07,56.02,-49.64,0.636
747744.40,6417183.00,382.98,61.06,-217.20,0.618
748019.46,6417192.50,378.01,56.79,-271.66,0.333
748329.34,6417211.50,381.75,56.69,-76.79,0.242
748610.78,6417202.00,380.03,58.03,148.89,0.311
748933.46,6417198.50,387.83,54.42,110.58,0.244
749226.37,6417222.00,389.01,53.00,-109.54,0.191
744718.37,6417303.50,378.12,50.25,-22.29,0.006
745036.40,6417280.00,378.06,56.73,-162.34,-0.037
745323.70,6417320.00,378.87,64.15,-186.50,-0.068
745632.26,6417310.50,380.00,59.31,-187.68,-0.017
745924.86,6417284.00,383.91,52.67,-159.65,-0.020
746245.53,6417314.50,385.78,54.52,1064.63,0.462
746545.22,6417321.00,380.00,56.95,2361.73,0.858
746838.31,6417300.50,380.71,56.22,1454.62,0.805
747132.33,6417314.00,374.04,57.36,630.64,0.730
747437.06,6417310.00,376.34,54.54,801.15,0.763
747731.14,6417304.50,380.86,60.13,677.26,0.751
748049.25,6417310.00,377.96,58.45,-33.94,0.418
748327.59,6417299.00,382.28,55.83,-20.96,0.287
748638.76,6417295.00,381.48,56.88,295.73,0.390
748936.33,6417314.00,386.81,57.28,281.34,0.275
749228.92,6417312.50,389.58,58.00,372.11,0.183
744733.58,6417404.50,383.04,48.27,-33.99,0.015
745036.97,6417411.50,381.33,52.54,-146.41,0.005
745338.50,6417400.50,381.28,61.97,-191.33,-0.048
745643.46,6417401.50,381.76,59.46,-190.96,-0.006
745929.08,6417414.00,385.38,53.46,-109.23,-0.052
746250.89,6417392.00,383.00,51.69,817.54,0.271
746537.64,6417398.50,381.11,54.27,2740.10,0.767
746831.11,6417400.00,379.70,53.11,1864.63,0.857
747128.58,6417392.00,375.11,56.69,1139.51,0.806
747458.73,6417406.00,375.88,54.97,1296.56,0.897
747712.55,6417412.50,378.15,60.46,1063.41,0.793
748034.97,6417408.50,380.46,58.63,212.25,0.558
748345.75,6417394.50,380.85,55.32,88.66,0.312
748633.05,6417412.50,382.25,56.61,415.66,0.412
748941.11,6417387.50,384.40,58.78,380.39,0.233
749226.17,6417418.50,386.33,58.00,372.11,0.217
744749.13,6417523.00,385.40,47.25,-108.95,-0.023
745021.37,6417513.00,385.40,49.18,-113.13,-0.002
745345.53,6417499.00,383.55,57.90,-193.17,0.010
745935.66,6417477.50,384.57,54.32,-121.98,-0.037
746840.87,6417500.50,380.61,55.34,2014.75,0.775
747440.65,6417502.00,375.88,56.02,1450.51,0.850
748036.11,6417500.00,381.10,57.86,459.65,0.605
748353.57,6417494.50,380.34,56.17,245.91,0.388
748751.88,6417505.50,382.99,55.77,447.04,0.258
748926.23,6417512.00,384.16,55.44,447.55,0.221
749235.82,6417479.00,386.21,58.00,372.11,0.200
744750.14,6417607.50,388.47,47.06,-149.96,-0.023
745028.33,6417604.50,388.47,47.51,-87.95,-0.036
745341.90,6417595.50,387.15,53.98,-191.76,0.011
745644.86,6417612.50,383.02,61.18,-190.54,-0.007
745957.89,6417611.00,385.06,55.30,-145.81,-0.026
746259.62,6417603.50,385.00,58.50,188.26,-0.056
746537.15,6417608.00,380.02,58.04,1247.80,0.291
746827.17,6417593.50,381.55,57.77,2127.56,0.653
747143.28,6417596.00,376.86,59.81,2227.92,0.801
747438.47,6417586.50,375.84,57.13,1651.61,0.790
747740.86,6417615.50,377.03,63.90,1057.61,0.644
748032.95,6417601.00,380.64,57.04,720.45,0.582
748350.17,6417596.50,378.88,56.89,390.85,0.398
748634.49,6417590.50,380.13,54.67,451.26,0.273
748941.76,6417604.50,383.52,53.06,488.47,0.182
749239.51,6417607.50,387.00,51.00,522.68,0.129
744744.66,6417699.00,392.16,48.56,-155.78,-0.044
745057.12,6417700.50,392.16,50.59,-109.91,-0.007
745348.96,6417701.50,391.85,52.74,-148.24,0.037
745637.34,6417717.50,386.05,57.03,-182.48,-0.009
745936.45,6417713.50,385.55,54.98,-154.09,0.012
746223.62,6417706.50,385.25,55.13,61.29,-0.025
746540.74,6417694.00,382.88,56.28,974.48,0.146
746865.05,6417700.00,382.70,56.94,1795.12,0.557
747144.51,6417692.00,375.74,60.49,2074.29,0.684
747432.72,6417708.50,375.69,57.84,1705.71,0.652
747746.60,6417702.50,377.98,60.48,1087.83,0.605
748028.74,6417697.00,379.28,58.66,790.60,0.565
748338.66,6417708.50,377.97,59.04,470.09,0.360
748637.96,6417705.00,381.32,57.29,410.33,0.166
748945.20,6417704.50,381.88,53.44,425.69,0.110
749233.10,6417712.00,384.80,51.00,522.68,0.078
744733.75,6417804.00,391.99,50.21,-161.17,-0.027
745022.97,6417790.00,391.99,52.89,-144.36,-0.015
745352.37,6417806.50,392.19,50.96,-99.36,0.011
745650.73,6417784.00,389.83,54.11,-179.47,0.009
745932.80,6417800.00,385.86,54.04,-154.32,0.007
746249.46,6417798.50,387.37,55.17,62.91,-0.006
746527.90,6417805.00,384.54,54.58,617.65,0.084
746856.33,6417808.00,382.72,55.59,1380.65,0.344
747144.17,6417796.50,378.00,61.15,1745.28,0.557
747460.25,6417794.50,377.01,57.65,1597.41,0.587
747731.66,6417796.00,377.86,56.80,1138.63,0.539
748044.79,6417796.50,379.83,61.12,815.89,0.562
748649.32,6417819.50,381.07,59.67,352.10,0.088
748951.29,6417809.00,381.81,54.01,342.18,0.082
749232.54,6417790.00,383.28,57.50,318.03,0.014
744732.66,6417902.50,390.29,50.98,-156.68,-0.023
745045.20,6417910.50,390.32,53.42,-166.43,0.019
745330.22,6417899.00,392.00,49.77,-94.02,-0.003
745650.89,6417898.50,392.92,51.29,-169.70,0.049
745942.48,6417924.50,388.38,53.73,-136.55,0.026
746247.63,6417907.00,386.40,54.04,25.50,0.045
746540.20,6417904.50,383.93,53.55,427.27,0.030
746832.56,6417900.50,385.63,54.22,1008.55,0.204
747125.92,6417915.50,380.00,62.55,1334.83,0.323
747444.92,6417890.50,377.15,59.47,1518.57,0.501
747737.98,6417918.50,376.76,57.08,1135.88,0.521
748642.51,6417885.50,382.46,60.52,364.90,0.113
748929.88,6417898.00,381.81,54.78,329.64,0.076
749240.62,6417903.50,383.50,57.50,318.03,0.001
744765.46,6417998.50,391.48,51.09,-143.86,0.001
745056.72,6418024.00,391.48,50.66,-173.34,-0.020
745351.58,6417995.50,392.00,50.64,-124.78,0.019
745649.30,6418006.50,393.56,52.44,-154.73,0.053
745952.00,6417991.00,392.24,54.00,-117.33,0.020
746239.20,6418001.00,387.04,54.50,2.40,0.029
746555.14,6418004.50,386.78,55.08,336.01,0.096
746833.67,6418006.00,385.74,54.40,713.11,0.135
747156.47,6417996.00,380.77,64.52,1081.86,0.220
747434.88,6417988.50,376.46,64.61,1248.45,0.338
747741.38,6417998.00,377.69,61.07,1105.12,0.479
748043.10,6417993.00,379.33,60.02,929.25,0.505
748345.17,6418012.00,380.46,59.08,708.79,0.291
748673.58,6418011.00,380.25,57.03,458.04,0.128
748956.87,6418025.50,380.00,57.86,381.44,0.039
749252.65,6418005.00,382.32,61.50,364.96,0.049
744742.30,6418087.50,390.36,50.21,-126.32,-0.020
745067.63,6418094.50,390.74,48.97,-179.37,-0.010
745355.13,6418104.00,392.00,51.47,-163.61,-0.006
745638.20,6418113.50,393.36,53.64,-140.23,0.030
745957.60,6418115.00,393.68,54.38,-86.68,0.044
746255.93,6418081.50,388.73,54.19,-2.14,0.051
746548.50,6418110.00,388.14,57.21,210.05,0.071
746844.72,6418096.00,387.44,54.79,475.89,0.082
747142.26,6418110.50,383.38,64.84,708.38,0.124
747436.52,6418098.50,377.18,68.76,954.88,0.274
747757.68,6418106.50,377.65,63.92,1048.57,0.343
748052.96,6418114.00,378.97,58.23,969.61,0.415
748356.84,6418102.00,380.71,57.84,784.21,0.184
748652.93,6418113.00,379.49,56.13,554.38,0.133
748938.32,6418110.50,380.85,58.66,424.16,0.043
749255.03,6418121.00,382.12,61.50,364.96,0.042
744737.75,6418213.00,391.23,53.54,-130.87,-0.047
745063.92,6418200.00,391.01,53.13,-173.67,-0.034
745350.13,6418185.50,391.14,52.62,-173.71,0.010
745648.34,6418208.50,393.53,52.85,-139.90,0.052
745944.22,6418202.50,394.96,53.13,-94.49,0.075
746253.77,6418198.50,392.47,53.99,-21.39,0.067
746562.05,6418209.50,391.00,53.86,143.01,0.029
746867.58,6418208.00,389.42,53.30,369.90,0.042
747157.62,6418203.50,383.33,62.19,605.75,0.102
747455.75,6418216.00,379.38,62.86,791.38,0.183
747755.45,6418179.50,378.06,61.72,953.03,0.280
748048.16,6418205.50,378.83,59.34,913.13,0.308
748360.71,6418186.00,380.32,59.36,778.07,0.169
748645.08,6418195.00,380.65,57.75,591.21,0.154
748938.24,6418206.50,379.51,61.00,461.19,0.075
749253.76,6418201.00,382.16,61.50,364.96,0.019
744764.24,6418309.50,391.00,56.14,-137.25,-0.055
745053.46,6418305.00,391.00,58.21,-165.04,-0.075
745341.25,6418304.00,392.17,54.51,-177.37,0.044
745657.01,6418313.50,394.87,51.61,-146.25,0.048
745957.83,6418298.50,395.93,52.57,-106.81,0.031
746266.88,6418298.00,393.13,53.19,-30.71,0.031
746547.01,6418313.50,391.43,50.40,60.09,0.069
746845.43,6418294.00,388.85,51.38,279.45,0.022
747172.68,6418306.50,381.10,59.01,488.68,0.090
747431.30,6418290.50,379.02,59.83,671.45,0.098
747753.36,6418278.00,378.40,58.73,823.34,0.227
748063.95,6418301.00,378.69,61.13,852.09,0.193
748342.33,6418301.50,380.15,61.02,768.17,0.132
748655.72,6418321.00,380.56,60.13,626.37,0.146
748965.03,6418305.00,380.03,62.14,483.81,0.046
749255.30,6418319.00,382.16,63.30,445.28,-0.031
744743.30,6418422.00,391.68,56.32,-131.73,-0.055
745050.09,6418399.00,391.01,59.66,-156.82,0.023
745356.60,6418412.00,392.62,54.49,-179.11,-0.002
745678.29,6418409.00,395.83,50.21,-152.31,0.018
745951.39,6418407.50,398.23,51.36,-124.10,0.034
746250.47,6418418.00,393.70,53.47,-49.38,0.006
746552.16,6418393.00,391.99,48.35,14.96,0.033
746852.88,6418401.00,387.75,50.68,192.57,0.014
747161.75,6418397.50,382.66,57.72,377.46,0.067
747452.54,6418402.50,380.04,59.28,538.28,0.067
747772.87,6418406.50,380.88,58.51,669.54,0.081
748061.11,6418418.50,381.93,60.44,739.66,0.085
748350.15,6418383.00,379.35,61.62,740.36,0.083
748676.81,6418410.00,381.62,61.39,629.96,0.063
748956.88,6418410.50,380.38,63.60,524.64,0.075
749245.43,6418397.00,383.95,63.30,445.28,0.016
744776.82,6418516.50,392.04,54.03,-120.28,-0.037
745053.48,6418531.00,392.04,55.29,-143.71,-0.041
745354.68,6418516.00,392.04,51.35,-182.76,0.004
745648.17,6418493.50,395.65,48.21,-163.17,-0.015
745973.23,6418518.50,398.50,51.14,-126.68,0.029
746247.12,6418503.50,393.30,54.52,-60.99,-0.003
746554.63,6418491.50,393.72,50.50,-7.16,0.058
746845.00,6418497.50,388.18,51.61,110.73,0.046
747181.00,6418507.00,383.14,59.95,276.91,-0.016
747456.09,6418521.00,379.08,61.82,400.53,0.070
747756.13,6418507.00,380.12,59.70,540.22,0.032
748075.58,6418511.00,381.98,59.29,641.02,0.049
748352.08,6418507.50,381.00,59.39,659.56,0.053
748665.57,6418501.00,382.00,61.70,629.00,0.074
748977.01,6418507.50,383.45,64.32,547.25,0.049
749280.87,6418516.00,385.79,63.40,561.14,0.026
744766.48,6418618.50,392.92,51.99,-100.64,-0.020
745053.36,6418615.50,392.92,53.40,-133.05,0.003
745344.78,6418605.00,393.97,49.38,-183.83,-0.004
745663.66,6418599.00,395.62,46.23,-171.66,-0.020
745959.12,6418594.00,397.38,51.00,-136.32,0.048
746247.92,6418615.50,394.10,54.99,-75.81,0.039
746565.42,6418593.50,393.02,52.93,-29.32,0.010
746861.67,6418618.50,386.27,53.01,25.32,-0.035
747169.99,6418625.00,382.30,60.67,158.72,-0.051
747451.13,6418591.50,380.70,63.24,315.69,0.006
747752.07,6418626.00,380.29,60.54,412.42,0.001
748061.05,6418606.50,382.29,56.87,536.77,0.031
748368.33,6418620.50,381.35,57.44,596.95,0.033
748656.63,6418619.50,382.93,61.52,617.79,0.084
748958.42,6418584.00,382.03,65.23,580.51,0.053
749254.46,6418611.00,384.65,63.40,561.14,0.063
744763.11,6418700.00,392.92,53.41,-62.94,-0.040
745065.21,6418714.50,392.92,55.36,-117.23,-0.030
745362.18,6418697.00,393.97,51.78,-175.77,0.047
745655.71,6418692.50,395.62,49.54,-167.92,0.034
745968.48,6418709.00,397.38,50.08,-137.54,0.053
746262.78,6418689.50,394.10,52.22,-84.29,0.017
746553.17,6418703.00,392.93,51.39,-41.32,-0.001
746875.07,6418707.00,386.55,54.84,12.29,0.016
747173.51,6418698.00,382.42,59.47,130.67,-0.035
747741.78,6418708.50,380.65,58.92,365.14,-0.033
748081.33,6418708.00,382.12,52.33,477.52,0.011
748348.74,6418700.00,381.77,55.35,559.44,0.012
748666.46,6418702.00,383.03,59.15,594.16,0.029
748958.89,6418726.50,382.97,59.85,585.94,0.007
749255.62,6418719.00,383.32,63.40,561.14,0.074
744749.85,6418818.00,392.92,55.67,-9.73,-0.010
745063.16,6418818.00,392.92,57.44,-96.11,0.032
745375.57,6418798.00,393.97,54.05,-166.62,0.015
745670.78,6418802.00,395.62,53.45,-162.30,0.071
745964.29,6418806.00,397.38,49.35,-141.83,0.030
746247.28,6418802.00,394.10,49.08,-105.88,0.022
746858.29,6418780.50,385.76,55.47,6.46,0.015
747170.42,6418787.00,382.42,57.61,103.78,-0.043
747465.54,6418790.00,380.83,60.94,221.74,0.028
747761.00,6418791.50,380.65,57.41,324.63,0.027
748057.75,6418797.50,382.12,48.45,408.93,-0.004
748354.33,6418804.50,381.77,53.25,514.11,0.030
748661.79,6418790.00,383.03,56.87,565.43,-0.019
748960.18,6418806.50,382.97,55.93,582.47,-0.006
749262.38,6418804.00,383.32,56.40,582.10,0.017
744754.17,6418906.00,392.92,53.96,-0.50,-0.026
745071.50,6418891.50,392.92,57.16,-82.35,0.018
745370.49,6418897.00,393.97,56.21,-155.02,-0.008
745664.82,6418904.00,395.62,53.75,-159.68,0.005
745956.37,6418891.00,397.38,49.01,-144.13,0.026
746276.34,6418896.00,394.10,48.66,-108.48,0.039
746578.29,6418905.50,392.93,50.04,-54.93,0.004
746851.85,6418899.50,385.76,57.62,-3.47,0.009
747456.07,6418904.00,380.83,60.39,171.63,-0.013
747748.50,6418916.50,380.65,57.64,258.38,0.011
748052.33,6418904.50,382.12,48.79,341.31,0.028
748359.99,6418919.00,381.77,53.44,454.61,0.015
748664.96,6418898.50,383.03,57.49,509.57,0.030
748963.44,6418907.00,382.97,56.06,561.85,0.019
749281.14,6418920.00,383.32,56.40,582.10,0.036
744759.36,6418996.50,392.92,51.37,-1.47,-0.016
745087.83,6419008.00,392.92,56.02,-60.33,0.023
745350.24,6419015.50,393.99,58.08,-138.53,0.013
745667.01,6418998.00,395.62,51.39,-158.02,0.016
745952.12,6419006.50,397.38,49.01,-144.85,0.028
746261.80,6418990.50,394.10,50.32,-110.81,0.065
746579.30,6419015.50,392.93,53.41,-70.69,0.042
746869.76,6419020.00,385.76,62.22,-31.61,0.019
747174.57,6419007.00,382.42,62.02,31.99,-0.030
747470.82,6419013.50,380.83,63.66,133.37,-0.017
747777.39,6419011.00,380.65,60.07,208.84,-0.031
748073.62,6418997.00,382.12,51.75,289.39,-0.006
748381.18,6419003.50,381.77,54.70,411.73,0.012
748671.15,6419005.00,383.03,60.59,441.33,-0.014
748978.42,6419003.00,382.97,58.21,538.27,-0.018
749268.98,6418996.50,383.25,62.00,513.49,-0.025
744765.62,6419122.00,392.92,48.00,-4.88,0.009
745076.45,6419098.00,392.92,55.00,-31.61,-0.001
745372.80,6419103.00,393.99,59.00,-130.88,-0.023
745682.47,6419090.00,395.62,48.03,-158.06,-0.007
745967.42,6419103.00,397.08,49.70,-144.58,0.034
746272.04,6419118.00,394.10,53.00,-109.58,0.023
746584.03,6419111.50,392.93,56.50,-85.94,0.042
746883.09,6419102.00,385.76,65.60,-53.89,-0.006
747171.11,6419103.00,382.42,67.70,-8.38,0.036
747482.71,6419086.00,380.83,65.94,107.66,-0.021
747763.93,6419100.50,380.65,64.20,148.17,0.005
748063.96,6419102.00,382.12,56.70,215.14,0.000
748353.15,6419108.00,381.77,55.00,342.28,0.010
748669.61,6419109.00,383.03,63.70,370.16,-0.014
748960.22,6419102.50,382.97,60.00,509.46,0.019
749265.69,6419110.00,383.25,62.00,513.49,0.014
744775.47,6419208.50,392.92,48.00,-9.97,0.032
745050.66,6419196.00,392.92,55.00,-20.14,-0.063
745378.41,6419202.50,393.99,59.00,-130.88,-0.075
745684.28,6419186.50,395.62,47.00,-158.97,0.016
745956.18,6419197.00,397.08,49.70,-144.58,0.027
746270.84,6419196.00,394.10,53.00,-109.58,-0.004
746574.78,6419214.50,392.93,56.50,-85.94,0.032
746868.58,6419198.50,385.76,65.40,-57.55,-0.003
747159.15,6419208.00,382.42,68.60,-12.81,-0.002
747465.69,6419219.50,380.83,67.00,90.81,-0.021
747779.25,6419207.00,380.65,63.10,150.98,0.026
748056.18,6419203.50,382.12,56.70,215.14,0.037
