X,Y,Z_ground_m,Z_sensor_m,Mag_anomaly_nT,FGrav_mgal
748313.75,6417526.50,380.00,55.68,301.69,0.396
748326.44,6417490.00,379.78,56.07,237.38,0.387
748335.56,6417471.00,379.57,56.00,205.16,0.385
748371.81,6417444.50,379.35,55.76,181.13,0.350
748388.00,6417422.50,379.13,55.74,156.18,0.333
748392.19,6417378.00,379.26,55.73,109.82,0.278
748386.75,6417356.50,379.38,55.62,83.19,0.288
748402.75,6417320.00,379.50,55.90,66.27,0.272
748398.56,6417278.00,379.63,55.90,29.90,0.292
748411.38,6417260.00,379.70,56.06,30.82,0.274
748405.25,6417211.00,379.78,56.06,-14.56,0.228
748411.75,6417181.50,379.86,56.22,-30.48,0.210
748426.81,6417149.00,379.94,56.92,-42.10,0.217
748429.81,6417122.00,379.68,57.12,-47.36,0.224
748445.06,6417057.50,379.16,59.62,3.50,0.242
748441.50,6417038.50,378.90,60.21,22.92,0.256
748463.88,6416999.00,378.81,62.24,84.67,0.331
748469.63,6416975.00,378.71,63.19,115.69,0.329
748479.19,6416954.50,378.62,63.97,145.20,0.334
748491.06,6416905.50,378.52,66.24,208.17,0.426
748492.69,6416885.00,378.69,67.09,222.88,0.443
748504.31,6416861.00,378.85,67.15,219.74,0.420
748508.19,6416828.00,379.02,65.22,196.00,0.439
748518.00,6416788.50,379.44,62.98,147.33,0.448
748524.06,6416748.00,379.85,60.60,97.00,0.474
748540.75,6416732.00,379.55,59.93,80.96,0.472
748547.88,6416697.50,379.25,58.03,39.54,0.461
748546.00,6416661.50,378.95,55.81,-6.86,0.442
748551.69,6416638.50,378.50,54.59,-34.73,0.418
748571.31,6416607.00,378.05,53.51,-82.10,0.371
748573.19,6416546.00,379.43,56.11,-190.91,0.326
748580.50,6416508.50,380.12,57.93,-263.13,0.330
748601.50,6416472.00,380.13,59.81,-335.00,0.266
748607.50,6416443.50,380.14,60.85,-392.54,0.227
748621.88,6416400.50,380.15,62.40,-483.22,0.150
748646.44,6416370.00,380.02,62.43,-540.80,0.116
748658.00,6416342.00,379.89,61.18,-581.92,0.085
748665.88,6416277.50,379.12,58.79,-645.05,0.033
748637.13,6416278.50,379.56,59.47,-632.87,0.050
748605.88,6416269.00,380.00,59.56,-629.33,0.056
748576.63,6416272.50,379.86,59.84,-620.26,0.056
748545.50,6416276.50,379.72,59.64,-613.36,0.046
748528.31,6416267.50,379.58,58.76,-624.71,0.047
748502.00,6416296.50,379.63,57.90,-599.43,0.099
748479.00,6416298.50,379.69,57.18,-608.95,0.106
748458.31,6416325.50,379.74,57.14,-593.44,0.128
748433.25,6416315.50,381.10,57.02,-621.35,0.099
748381.56,6416311.00,382.25,56.31,-658.94,0.074
748349.13,6416326.00,382.04,54.79,-677.86,0.118
748322.44,6416328.50,382.04,54.61,-695.65,0.126
748299.06,6416338.50,382.04,55.23,-705.25,0.129
748272.63,6416351.50,381.84,56.04,-698.58,0.144
748258.00,6416377.50,381.64,56.16,-666.70,0.167
748222.25,6416407.50,381.44,56.38,-603.94,0.205
748198.56,6416429.00,381.24,56.44,-550.07,0.276
748190.56,6416394.50,379.80,58.04,-621.12,0.206
748188.50,6416364.00,379.95,59.21,-664.80,0.181
748210.88,6416339.50,380.10,58.05,-709.37,0.151
748180.56,6416331.00,380.19,58.67,-697.44,0.162
748125.56,6416331.50,380.17,59.13,-643.46,0.191
748083.63,6416357.50,380.04,59.61,-538.10,0.235
748054.75,6416362.00,379.91,59.41,-467.47,0.269
748017.75,6416384.00,380.23,58.45,-305.73,0.325
748017.38,6416409.50,380.54,57.71,-300.66,0.304
747990.44,6416426.50,380.36,57.56,-215.21,0.301
747978.69,6416457.00,380.18,57.12,-253.87,0.334
747959.94,6416492.00,380.00,56.44,-280.90,0.334
747921.69,6416484.50,379.51,55.88,-196.07,0.302
747883.44,6416491.00,379.03,56.64,-133.86,0.278
747846.13,6416500.50,378.54,56.60,-94.10,0.279
747840.63,6416472.00,378.50,57.54,90.27,0.301
747822.00,6416424.00,378.46,59.13,408.08,0.395
747801.00,6416432.00,377.98,58.83,494.30,0.412
747767.75,6416447.00,377.50,58.11,548.07,0.385
747738.94,6416470.00,377.01,56.83,446.23,0.310
747719.25,6416470.50,376.53,56.57,467.81,0.332
747678.00,6416480.00,377.09,56.03,365.16,0.321
747649.69,6416497.50,377.65,55.99,145.61,0.255
747620.56,6416485.50,377.33,56.62,108.30,0.295
747583.50,6416489.00,377.01,55.82,-40.74,0.304
747553.25,6416476.00,376.69,56.44,-34.53,0.307
747525.75,6416469.50,376.38,57.30,-45.49,0.302
747493.13,6416470.00,375.80,57.95,-95.44,0.271
747468.00,6416471.50,375.22,58.00,-133.86,0.220
747436.25,6416479.50,374.64,57.52,-206.56,0.225
747419.19,6416500.00,375.00,56.91,-318.64,0.154
747461.75,6416524.50,375.51,55.77,-403.05,0.158
747481.25,6416558.00,376.01,54.05,-556.18,0.114
747506.19,6416570.00,376.52,53.11,-623.93,0.092
747530.13,6416603.00,377.70,51.05,-740.48,0.058
747549.00,6416620.00,378.87,51.06,-746.90,0.078
747577.00,6416625.00,378.50,50.99,-741.81,0.102
747609.94,6416623.00,378.14,52.10,-734.79,0.116
747632.75,6416623.50,377.77,52.69,-732.49,0.116
747667.56,6416630.50,377.64,51.85,-737.48,0.099
747715.50,6416656.00,378.39,52.59,-729.04,0.026
747741.94,6416631.50,379.06,52.27,-693.06,0.092
747780.88,6416602.50,379.72,52.33,-605.36,0.130
747799.38,6416585.50,380.39,53.28,-530.42,0.142
747831.50,6416590.50,379.60,53.46,-559.60,0.141
747872.00,6416595.00,378.81,53.41,-548.58,0.174
747886.31,6416630.50,378.71,53.58,-569.94,0.130
747915.81,6416621.50,378.38,53.45,-526.44,0.183
747952.63,6416615.00,378.06,54.48,-468.30,0.140
747921.69,6416641.50,378.95,54.00,-526.50,0.153
747910.88,6416668.00,379.84,54.31,-531.73,0.116
747884.75,6416733.00,379.48,56.11,-539.66,0.084
747886.50,6416757.00,379.29,56.69,-526.60,0.075
